r,,,,,,,,,,,,,,,,
Day,Week,CONCEPT BUILDER,Short Term (ST -1),,,,,,,Short Term (ST -2),,,,,,
,,Test,Test,,,,,,,Test 1,,,,,,
,,05:30 A.M - 06:30 A.M,08:30 AM - 10:00 AM ,10:10 AM - 11:40 AM ,11:50 AM - 01:20 PM,02:20 PM - 03:50 PM,04:00 PM - 05:15 PM,05:30 PM - 07:00 PM,07:00 PM - 08:00 PM,08:30 AM - 10:00 AM ,10:10 AM - 11:40 AM ,11:50 AM - 01:20 PM,02:20 PM - 03:50 PM,04:00 PM - 05:15 PM,05:30 PM - 07:00 PM,07:00 PM - 08:00 PM
24 -Mar,Monday,QA,QA,VA,LR,QA,LR,QA/VA,VA,VA,QA,LR,VA,LR,Practice,VA
,,Profit and Loss -3,Si & CI - 1,"Nouns,Adverbs",Coding and Decoding,SI & CI - 2,Calendars -1,Weekend Exam -1 Paper doubts,Practice Session,The Whole Shebang & Tense,Percentages-1,Calendars -1,Verbs,Missing Numbers,Today's class papers practice ,Practice Session
,,MK,JMS,Anish,Jaya Chandra,JMS,MK,Kiran / Rakesh,Anish,Anish,JMS,MK,Anish,Jaya Chandra,Kiran / Rakesh,Anish
25 -Mar,Tuesday,LR,QA,QA,LR,VA,QA,Practice Test -2,LR,VA,QA,QA,LR,VA,Practice Test -2,LR
,,Calendars -2,Set Theory,Numbers - 1 (Numbers Basics),Blood Relations -1,Pronouns,Functions & Graphs - 1,Exam,Practice Session,"Revision
of the Week",Speed Math,Pecentages-2,Wrong Numbers,Articles,Exam,Practice Session
,,Jaya Chandra,RAM,JMS,Jaya Chandra,Anish,RAM,Rakesh,Jaya Chandra,Anish,RAM,JMS,Jaya Chandra,Anish,Rakesh,Jaya Chandra
26 -Mar,Wednesday,QA,VA,LR,QA,VA,LR,Practice Test -3,LR,QA,VA,LR,LR,VA,Practice Test -3,LR
,,Mensuration -3,Degrees of Comparison,Blood Relations -2,"Numbers - 2 
(Divisibility Rules)",Modifiers,Calendars -2,Exam,Practice Session,Profit & Loss - 1,Tenses,Alphabet Series,Calendars -2,Voice,Exam,Practice Session
,,Siddhik,Paandu,Jaya Chandra,JMS,Paandu,MK,Kiran,Jaya Chandra,JMS,Paandu,Jaya Chandra,MK,Paandu,Kiran,Jaya Chandra
27 -Mar,Thursday,VA,QA,QA,VA,QA,LR,Practice Test -4,VA,QA,QA,LR,VA,QA,Practice Test -4,
,,"Vocabulary
Cue Card -3",Functions & Graphs - 2,"Numbers - 3
(Units/Last Digits) ",Speech,"Numbers - 4
(Lcm & HCF - 1)",Clocks -1,Exam,Practice Session,Profit & Loss - 2,Set Theory - 1,Clocks -1,"Nouns, Pronouns,Adverbs", PYQ Practice (Perecentages / P&L ) ,Exam,Practice Session
,,Kiran,RAM,JMS,Anish,JMS,MK,Rakesh,Anish,JMS,RAM,MK,Anish,JMS,Rakesh,Anish
28 -Mar,Friday,,LR,VA,LR,QA,LR,Practice Test -5,QA,VA,LR,QA,LR,QA,Practice Test -5,QA
,,,Clocks -2,RC & Adverbs,Inequalities,"Numbers - 5
(Lcm & HCF - 2)",Order and Ranking,Exam,Practice Session,Pronouns,Directions,SI & CI - 1,Coding and Decoding,Set Theory - 2,Exam,Practice Session
,,,MK,Anish,Jaya Chandra,JMS,Jaya Chandra,Kiran,MK,Anish,Jaya Chandra,JMS,Jaya Chandra,RAM,Kiran,MK
29 -Mar,Saturday,"Readathon 
(07:00 P.M - 07:30 P.M)
Online
Sravya",VA,LR,QA,QA,QA,Practice Test -6,QA,LR,VA,QA,VA,LR,Practice Test -6,QA
,,,Conjunctions,Syllogisms -1,Averages,Practice,"Numbers - 6
(Factors - 1)",Exam,Practice Session,Blood Relations -1,Practice,SI & CI - 2,Adverbs,Clocks -2,Exam,Practice Session
,,,Anish,Jaya Chandra,MK,Rakesh,JMS,Rakesh,JMS,Jaya Chandra,Kiran,JMS,Anish,MK,Rakesh,JMS